ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_result,usd_funding_goal,company_address
1154119357ID,Pseudo Man - Short Film,Shorts,Film & Video,USD,2015-08-10,10000.0,2015-07-10 17:03:59,12510.0,successful,112,US,83108$ usd,12510.0,10000.0,"Michelle Pine, 51607"
2135139049ID,The Cypress Quartet is hitting the radio waves!,Classical Music,Music,USD,2011-12-11,2000.0,2011-11-24 18:25:41,2072.0,successful,18,US,99584$ usd,2072.0,2000.0,"Hamilton Light, 02893"
565223136ID,The Giant Cock Car,Public Art,Art,USD,2011-06-20,2300.0,2011-05-21 00:15:52,2800.0,successful,15,US,77793$ usd,2800.0,2300.0,"Butler Heights, 72443"
798034915ID,Supercentenarian's ....History's Oldest Living Observers,Documentary,Film & Video,USD,2014-08-11,375000.0,2014-07-11 16:31:32,0.0,canceled,0,US,76644$ usd,0.0,375000.0,"Shelly Court, 02087"
77843681ID,MY CHILDHOOD International Cinema Project,Film & Video,Film & Video,EUR,2015-12-06,3500.0,2015-10-07 13:49:44,3550.0,undefined,0,"N,0""",72186$ usd,3887.26,3832.51,"Powell Mountains, 03723"
1596374691ID,CheapO's Hole Bread,Food Trucks,Food,CAD,2017-01-23,120500.0,2016-12-24 02:06:20,0.0,failed,0,CA,98636$ usd,0.0,91851.51,"Shelia Forest, 45531"
1162696148ID,"A Musical Evening; Rebecca Stuhlbarg sings Opera, New Music",Music,Music,USD,2011-02-14,1500.0,2011-01-23 09:52:42,1575.0,successful,38,US,85210$ usd,1575.0,1500.0,"Brian Manors, 38044"
1091058614ID,Vignette - Chicago Artist's Studio,Art,Art,USD,2014-04-11,25000.0,2014-03-12 02:50:37,2151.0,failed,48,US,52222$ usd,2151.0,25000.0,"Daniel Wells, 21589"
2039040796ID,The Butterfly Romper,Fashion,Fashion,USD,2017-06-19,10200.0,2017-05-25 23:22:26,12.0,failed,3,US,88702$ usd,12.0,10200.0,"Hannah Glen, 54387"
543367718ID,NYC 5-Borough Youth Rock Symphony,Music,Music,USD,2013-04-23,10000.0,2013-03-18 21:25:14,10158.0,successful,108,US,53226$ usd,10158.0,10000.0,"Mario Oval, 30864"
206207992ID,Put a Christmas Tree on the North Pole,Conceptual Art,Art,USD,2015-02-12,157500.0,2015-01-13 00:24:48,0.0,failed,0,US,99789$ usd,0.0,157500.0,"Scott Plain, 41477"
194045932ID,The Adventures of Luna the Vampire :: The Comic Book ::,Comic Books,Comics,EUR,2015-03-03,3000.0,2015-01-30 15:34:33,4217.0,successful,125,NL,81206$ usd,4623.09,3288.9,"Price Freeway, 86024"
579044451ID,As Above So Below: A Climbing Story,Publishing,Publishing,USD,2017-11-15,8500.0,2017-10-16 16:32:10,12665.0,successful,232,US,65057$ usd,12665.0,8500.0,"Meredith Freeway, 79312"
932139274ID,Driftaholics Presents: Behind the Wheel (Canceled),Documentary,Film & Video,USD,2015-05-19,3000.0,2015-04-09 22:08:20,0.0,canceled,0,US,61721$ usd,0.0,3000.0,"Justin Lake, 60986"
1653755794ID,"Chris Titchner's CD: You Fund The CD, I'll Shave The Beard",Rock,Music,USD,2013-11-18,8000.0,2013-10-12 06:00:36,5396.0,failed,51,US,65260$ usd,5396.0,8000.0,"Simpson Unions, 73534"
1285747586ID,"Flourish Vibrational Haircare - pure, natural, and herbal",Fashion,Fashion,USD,2017-04-05,200.0,2017-03-13 23:33:32,200.0,successful,9,US,97998$ usd,200.0,200.0,"Olivia Port, 81284"
1675214686ID,Scarlet Virginia - Help us make our first full length album!,Country & Folk,Music,USD,2012-12-10,3500.0,2012-10-26 06:00:35,3923.0,successful,65,US,68023$ usd,3923.0,3500.0,"Whitney Forge, 23389"
624007615ID,"The Last Time We Were Here, a new musical: Send us to NYC!",Musical,Theater,USD,2015-05-09,9500.0,2015-04-09 23:46:52,10000.0,successful,100,US,51815$ usd,10000.0,9500.0,"Eric Landing, 27216"
1670970410ID,Life after two surgeries - the story of an artist's hand,Painting,Art,USD,2011-07-03,20000.0,2011-06-03 05:03:22,0.0,failed,0,US,66170$ usd,0.0,20000.0,"Autumn Wells, 83987"
1038445798ID,Race for the Iron Throne E-Book,Publishing,Publishing,USD,2015-11-04,15000.0,2015-10-05 14:08:51,9744.0,failed,172,US,79024$ usd,9744.0,15000.0,"Christopher Square, 94333"
229408616ID,HYDE (The serum chronicles book one),Fiction,Publishing,USD,2014-02-20,10000.0,2014-01-21 19:02:44,5.0,failed,1,US,63265$ usd,5.0,10000.0,"Bailey Run, 79928"
468081022ID,Button-Up + Laces: Quit Tying Knots!,Product Design,Design,USD,2015-03-30,9000.0,2015-01-27 15:00:53,29892.0,successful,970,US,74823$ usd,29892.0,9000.0,"Becker Springs, 71570"
60759276ID,The Observer Project 2016,Space Exploration,Technology,USD,2016-12-21,60000.0,2016-11-21 15:59:03,358.0,canceled,5,US,62766$ usd,358.0,60000.0,"Katherine Squares, 66331"
1909036249ID,Legions Of War,Tabletop Games,Games,GBP,2017-08-07,2100.0,2017-07-08 15:23:25,21.0,failed,6,GB,91031$ usd,27.26,2725.64,"Castillo Mountain, 10042"
2062808566ID,Deployed Soldier wants to publish a book,Fiction,Publishing,USD,2015-01-15,10000.0,2014-12-08 19:46:37,45.0,failed,3,US,89621$ usd,45.0,10000.0,"Garcia Well, 77461"
1219546394ID,Project: 20M813,Mobile Games,Games,USD,2014-06-12,2500.0,2014-05-13 21:08:05,10.0,failed,2,US,68557$ usd,10.0,2500.0,"Joann Springs, 71073"
1886832615ID,Old Kent Road's next adventure...,Dance,Dance,GBP,2016-12-31,4000.0,2016-11-30 12:16:12,4205.0,successful,62,GB,75167$ usd,5198.8,4945.35,"Diane Hill, 41410"
107210726ID,Dominik Dash & The Race to the Center of the Universe,Fiction,Publishing,USD,2017-04-01,5500.0,2017-03-02 00:23:19,1240.0,failed,5,US,97193$ usd,1240.0,5500.0,"Heather Bridge, 07964"
1582128658ID,Joseph and the Amazing Technicolor Dreamcoat By SCT,Theater,Theater,USD,2013-09-08,1800.0,2013-08-15 01:16:51,1811.0,successful,13,US,58301$ usd,1811.0,1800.0,"Sarah Forges, 49516"
1385403462ID,ALKARI - BLACKOUT FALLS LP,Indie Rock,Music,USD,2012-05-13,1500.0,2012-04-13 02:48:57,2756.0,successful,25,US,72638$ usd,2756.0,1500.0,"Abigail Streets, 39751"
1547100589ID,Krash X Elements Apparel,Apparel,Fashion,GBP,2016-10-07,160.0,2016-09-09 20:41:15,299.0,successful,14,GB,69979$ usd,368.65,197.27,"Turner Street, 10251"
1893749127ID,the 'ukulele magazine,Periodicals,Publishing,USD,2012-03-12,10000.0,2012-02-11 18:04:41,135.0,failed,4,US,53469$ usd,135.0,10000.0,"Sabrina Trail, 51866"
1793533770ID,Solid Copper & Brass Metal Ruler with Custom Engraving,Product Design,Design,USD,2017-05-03,250.0,2017-04-18 17:35:39,5067.0,successful,87,US,71994$ usd,5067.0,250.0,"Laura Brooks, 94723"
2141295431ID,Discontinuity,Film & Video,Film & Video,USD,2015-04-11,5000.0,2015-03-12 04:10:01,5462.66,undefined,0,"N,0""",88528$ usd,5462.66,5000.0,"Mary Square, 01344"
1512618683ID,Cannabis Virtual Reality Network (CVRNUSA),Webseries,Film & Video,USD,2017-03-14,100000.0,2017-02-22 02:56:27,25.0,canceled,2,US,84024$ usd,25.0,100000.0,"Hickman Skyway, 46018"
1892748640ID,KidAlong Side Car - Staying connected with your child,Product Design,Design,USD,2013-12-04,100000.0,2013-10-30 22:56:51,550.0,failed,9,US,61530$ usd,550.0,100000.0,"Mark Skyway, 21197"
1669028681ID,Help Thank You Scientist fund our full length record,Music,Music,USD,2011-12-23,2000.0,2011-10-24 03:29:31,2735.12,successful,43,US,64999$ usd,2735.12,2000.0,"Bonnie Wall, 18793"
857147327ID,Elevator,Shorts,Film & Video,USD,2011-06-01,1000.0,2011-05-02 20:36:03,186.0,failed,18,US,89545$ usd,186.0,1000.0,"Kayla Estate, 90766"
173093298ID,Restoring Trust in Mexico's Tourism,Documentary,Film & Video,USD,2012-06-23,50000.0,2012-04-24 07:34:22,435.0,failed,12,US,79751$ usd,435.0,50000.0,"Combs Land, 88696"
372837800ID,Organically Grown Food Everyone can Afford,Farms,Food,USD,2014-09-14,5500.0,2014-07-31 17:56:14,5.0,failed,1,US,84499$ usd,5.0,5500.0,"Cameron Crossroad, 93462"
1040369079ID,Mud Butt Wipes: Flushable and Biodegradable Bathroom Wipes,Technology,Technology,USD,2016-02-19,15000.0,2016-01-20 17:47:51,247.0,failed,7,US,69177$ usd,247.0,15000.0,"Anthony Bypass, 10920"
1746625724ID,2014 Genre Jam Music Festival,Music,Music,USD,2013-12-02,40000.0,2013-11-22 05:18:26,0.0,failed,0,US,79477$ usd,0.0,40000.0,"Washington Roads, 31691"
28559374ID,THE HISTORY OF STREET FOOTBALL,Documentary,Film & Video,GBP,2016-12-05,6000.0,2016-10-06 10:28:28,127.0,failed,5,GB,84668$ usd,159.77,7548.02,"Young Cliffs, 28562"
678986386ID,The Bean vol 4: The Dark Road by Travis Hanson,Comics,Comics,USD,2015-03-12,6500.0,2015-02-05 05:04:25,21057.0,successful,371,US,87972$ usd,21057.0,6500.0,"Ariana Skyway, 62468"
937888094ID,'the romantic' - print run of a poetry book to sell on tour,Poetry,Publishing,USD,2011-07-30,500.0,2011-06-30 19:33:10,1713.8,successful,75,US,93324$ usd,1713.8,500.0,"Toni Estates, 02870"
770236515ID,Dough: For Grownups Who Never Grew Up,Tabletop Games,Games,USD,2017-07-14,5000.0,2017-06-14 22:21:45,86.0,failed,6,US,72308$ usd,86.0,5000.0,"April Crest, 68882"
1927666942ID,The Suburbs: NY,Webseries,Film & Video,USD,2014-04-19,4000.0,2014-03-19 22:01:13,30.0,failed,2,US,79555$ usd,30.0,4000.0,"Edwin Spurs, 14551"
1853807113ID,Burlap & Bordeaux: Unique Gift Baskets and Floral Creations,Food,Food,USD,2014-04-23,8000.0,2014-03-24 07:09:53,0.0,failed,0,US,85607$ usd,0.0,8000.0,"Parker Turnpike, 36326"
597127899ID,Traveling In The World Of Flowers And Colors,Video Art,Art,USD,2017-05-06,800.0,2017-03-07 13:44:48,31.0,failed,3,US,87508$ usd,31.0,800.0,"Wilkins Station, 81957"
1995869277ID,My Flesh Heart Meets Jars of Clay,Indie Rock,Music,USD,2012-01-05,500.0,2011-12-06 05:57:52,536.0,successful,20,US,56920$ usd,536.0,500.0,"Walton Ways, 84695"
992602401ID,Sleepy Eyed Fox - Debut Album,Pop,Music,USD,2011-02-13,2000.0,2011-01-14 06:03:53,2415.0,successful,66,US,71628$ usd,2415.0,2000.0,"Wade Station, 76912"
1483767058ID,Soap Bubble Chair,Product Design,Design,USD,2012-05-19,4000.0,2012-04-04 14:03:02,5026.0,successful,46,US,88390$ usd,5026.0,4000.0,"Tina Road, 37512"
856985301ID,Gardner & Wells - A Gothic Ghost Story - A Feature Film,Film & Video,Film & Video,USD,2010-11-15,12500.0,2010-10-01 01:56:24,13250.0,successful,117,US,89798$ usd,13250.0,12500.0,"Robert Mount, 92383"
944918606ID,'Cleansed' (Canceled),Shorts,Film & Video,GBP,2013-07-07,7000.0,2013-06-07 15:39:36,1560.0,canceled,20,GB,81265$ usd,2356.92,10575.94,"Sean Village, 21224"
319349779ID,The Chronicles Vol. 2,Faith,Music,USD,2017-04-25,10000.0,2017-03-23 02:31:58,101.0,failed,6,US,61033$ usd,101.0,10000.0,"Hernandez Inlet, 21690"
318146010ID,AGENT 42 - VOLUME ONE - PRINT EDITION,Graphic Novels,Comics,GBP,2017-06-21,4000.0,2017-05-22 19:56:44,583.0,failed,15,GB,57921$ usd,741.85,5089.9,"May Well, 49826"
805002952ID,System Lords,Video Games,Games,USD,2013-09-18,5000.0,2013-08-19 06:52:56,1001.01,failed,42,US,50935$ usd,1001.01,5000.0,"Pamela Drive, 27881"
1977132202ID,PHARISEES: The Party Game,Live Games,Games,USD,2016-08-06,4000.0,2016-07-03 06:57:35,21307.0,successful,744,US,97531$ usd,21307.0,4000.0,"French Village, 02632"
151357406ID,Little Big Wallet,Product Design,Design,USD,2014-01-27,5000.0,2014-01-06 22:18:33,278.0,failed,19,US,87805$ usd,278.0,5000.0,"Barber Dam, 81833"
628240076ID,Crossroads (Short Film),Thrillers,Film & Video,USD,2017-03-06,5000.0,2017-02-04 21:00:11,5128.51,successful,78,US,55935$ usd,5128.51,5000.0,"Delgado Field, 88721"
200006094ID,Outer Space Boy,Narrative Film,Film & Video,USD,2013-05-23,4200.0,2013-04-23 05:59:57,250.0,failed,6,US,50542$ usd,250.0,4200.0,"Simpson Courts, 84544"
2120023784ID,The Hawk,Film & Video,Film & Video,GBP,2015-05-13,150.0,2015-04-13 02:54:44,10.0,failed,1,GB,98455$ usd,15.71,235.64,"Michael Summit, 18549"
487892174ID,iOTS wallet:Carry everything or just the essentials-in style,Fashion,Fashion,USD,2014-03-20,3000.0,2014-02-18 17:42:02,3161.0,successful,80,US,81150$ usd,3161.0,3000.0,"Webb Estates, 21345"
1198834100ID,"PhotoBike:  4,000 Photos from a Bicycle Seat",Photography,Photography,USD,2011-02-24,600.0,2011-01-25 09:08:06,1572.0,successful,54,US,66735$ usd,1572.0,600.0,"Chapman Passage, 44607"
1918260874ID,Minimal Pokémon Posters (Canceled),Graphic Design,Design,USD,2015-06-13,3000.0,2015-05-14 05:01:38,0.0,canceled,0,US,56169$ usd,0.0,3000.0,"Davis Forest, 74085"
1668277497ID,Baked Alaska,Television,Film & Video,USD,2015-05-08,1000.0,2015-04-08 05:21:00,1177.0,successful,10,US,51760$ usd,1177.0,1000.0,"Brandon Extension, 94948"
1374582600ID,House On Shady Lane (Canceled),Narrative Film,Film & Video,USD,2013-01-18,25000.0,2012-11-19 21:43:14,150.0,canceled,4,US,92416$ usd,150.0,25000.0,"Donald Track, 42782"
420370989ID,VIGNA LEATHER BAGS,Fashion,Fashion,GBP,2014-12-24,8500.0,2014-12-03 04:31:42,377.0,failed,3,GB,58189$ usd,585.7,13205.52,"Graham Branch, 28408"
1272431511ID,"AFRICA ON THE ROAD: 6 Months, 17 Countries, 18,000 Miles",Documentary,Film & Video,USD,2014-09-01,50000.0,2014-08-01 18:38:56,80.0,failed,3,US,63390$ usd,80.0,50000.0,"James Cove, 13385"
1615825493ID,"Operation Squiddershins: More Games, Less Pizza",Video Games,Games,USD,2013-12-25,1000.0,2013-11-26 03:09:20,1032.0,successful,53,US,62521$ usd,1032.0,1000.0,"Figueroa Squares, 35341"
